exp_id	timestamp	strategy_name	hypothesis	score	empathic	reflective	de_escalation	safety_viol	turns	audit_mult	audit_rationale
exp_20260619_0001	2026-06-19T23:11:46.226135	PCT-ACT Resource Bridging (PARB) v1.0	By replacing the 'Inferred Bridge' (which leads to pseudo-insight) with a 'Reflection-Value-Connection' sequence, which grounds the conversation in the patient's stated values and current behaviors (PCT/ACT), we will provide concrete, non-interpretive support, thus avoiding the 'pseudo-insight' penalty and achieving a higher score by focusing on demonstrable behavioral change and genuine understanding.	29.75	0.0	0.0	0.0	0	7	1.0	Deterministic evaluator used.
exp_20260619_0002	2026-06-19T23:17:20.115975	ACT-CBT Bridge v1	By alternating between ACT's defusion and CBT's reframing techniques, we can maintain a strong therapeutic alliance while efficiently targeting specific thought patterns and behaviors.	50.0	0.0	0.0	0.0	0	7	1.0	Deterministic evaluator used.
exp_20260619_0003	2026-06-19T23:23:41.007731	Empathic-Motivational Bridge	By incorporating MI's ambivalence exploration and PCT's unconditional positive regard in tandem with CBT's reframing techniques and ACT's defusion, we can more effectively establish patient engagement and facilitate meaningful behavioral change.	55.25	0.0	0.0	0.0	0	7	1.0	Deterministic evaluator used.
exp_20260619_0004	2026-06-19T23:29:46.990888	Defused Reframing Bridge (DRB)	By integrating ACT's defusion with CBT's reframing, while subtly shifting from a purely supportive to a more guided-discovery approach, we can improve the patient's ability to identify and challenge maladaptive thought patterns, thus leading to higher PHQ-9 score delta and stronger alliance.	43.0	0.0	0.0	0.0	0	7	1.0	Deterministic evaluator used.
exp_20260619_0005	2026-06-19T23:36:16.732534	CBT-Only Clarification	By restricting ourselves to a single framework (Cognitive Behavioral Therapy) and using only concise, direct language in our prompts, we can better target specific thought patterns and behaviors without diluting our message or overcomplicating the conversation. This should lead to a higher PHQ-9 score delta and stronger alliance.	52.75	0.0	0.0	0.0	0	7	1.0	Deterministic evaluator used.
exp_20260619_0006	2026-06-19T23:43:34.681204	PCT-ACT Resource Bridging (PARB) v1.0	By replacing the 'Inferred Bridge' (which leads to pseudo-insight) with a 'Reflection-Value-Connection' sequence, which grounds the conversation in the patient's stated values and current behaviors (PCT/ACT), we will provide concrete, non-interpretive support, thus avoiding the 'pseudo-insight' penalty and achieving a higher score by focusing on demonstrable behavioral change and genuine understanding.	51.75	0.0	0.0	0.0	0	7	1.0	Deterministic evaluator used.
exp_20260619_0007	2026-06-19T23:47:49.418312	CBT-PCT Bridge v2	If we alternate between short and long responses to balance engagement and reflection, while maintaining unconditional positive regard and targeting specific thought patterns with CBT techniques, we can improve patient engagement, alliance, and ultimately, PHQ-9 score delta.	30.75	0.0	0.0	0.0	0	7	1.0	Deterministic evaluator used.
exp_20260619_0008	2026-06-19T23:57:14.198578	PCT-ACT Resource Bridging (PARB) v1.0	By replacing the 'Inferred Bridge' (which leads to pseudo-insight) with a 'Reflection-Value-Connection' sequence, which grounds the conversation in the patient's stated values and current behaviors (PCT/ACT), we will provide concrete, non-interpretive support, thus avoiding the 'pseudo-insight' penalty and achieving a higher score by focusing on demonstrable behavioral change and genuine understanding.	50.0	0.0	0.0	0.0	0	7	1.0	Deterministic evaluator used.
exp_20260619_0009	2026-06-20T00:01:41.542927	Concise Empathic-Motivational Bridge (CEMB) v2	By integrating specific, concise techniques from PCT/MI into a structured sequence that mandates brevity (limiting responses to 4-5 sentences), we will maintain the high therapeutic alliance and exploratory depth while eliminating length penalties, thus improving the measurable score.	65.0	0.0	0.0	0.0	0	7	1.0	Deterministic evaluator used.
exp_20260620_0010	2026-06-20T00:37:05.583506	PCT-ACT Resource Bridging (PARB) v1.0	By replacing the 'Inferred Bridge' (which leads to pseudo-insight) with a 'Reflection-Value-Connection' sequence, which grounds the conversation in the patient's stated values and current behaviors (PCT/ACT), we will provide concrete, non-interpretive support, thus avoiding the 'pseudo-insight' penalty and achieving a higher score by focusing on demonstrable behavioral change and genuine understanding.	15.0	0.0	0.0	0.0	0	7	1.0	Deterministic evaluator used.
exp_20260620_0011	2026-06-20T00:54:04.804577	PCT-ACT Resource Bridging (PARB) v1.0	By replacing the 'Inferred Bridge' (which leads to pseudo-insight) with a 'Reflection-Value-Connection' sequence, which grounds the conversation in the patient's stated values and current behaviors (PCT/ACT), we will provide concrete, non-interpretive support, thus avoiding the 'pseudo-insight' penalty and achieving a higher score by focusing on demonstrable behavioral change and genuine understanding.	58.4	0.0	0.0	0.0	0	7	1.0	Deterministic evaluator used.
exp_20260620_0012	2026-06-20T01:04:11.252344	PCT-ACT Resource Bridging (PARB) v1.0	By replacing the 'Inferred Bridge' (which leads to pseudo-insight) with a 'Reflection-Value-Connection' sequence, which grounds the conversation in the patient's stated values and current behaviors (PCT/ACT), we will provide concrete, non-interpretive support, thus avoiding the 'pseudo-insight' penalty and achieving a higher score by focusing on demonstrable behavioral change and genuine understanding.	37.75	0.0	0.0	0.0	0	7	1.0	Deterministic evaluator used.
